id,question
105,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：鸭舌帽（品类）可以或者应该___（功能）
#答案#
休闲透气
#候选#
['可折叠', '舒爽', '防尘', '修身', '护颈', '健身', '亮色', '防护', '显白', '反光', '加深', '显瘦', '定型']"
106,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：黑巧克力（品类）可以或者应该___（功能）
#答案#
提神
#候选#
['补肾', '清爽', '润滑', '减肥', '平衡', '抗氧化', '抗皱', '持久', '耐高温', '减肥饮食']"
107,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：黑糖（品类）可以或者应该___（功能）
#答案#
健脾
#候选#
['养身', '益气', '祛湿', '润肺', '洁面', '除湿', '美容', '净化', '清爽', '净白', '净颜', '止痛', '护理', '去角质', '润滑']"
108,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：黑芝麻（品类）可以或者应该___（功能）
#答案#
保健
#候选#
['美容', '健身', '调理', '消化', '补肾', '减肥', '清洁', '柔顺', '防腐', '补色', '益智', '洗发', '恒温', '安全', '调和']"
109,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：休闲透气（功能）属于或类似于___（功能）
#答案#
加厚透气
#候选#
['舒适透气', '防胀气', '透风', '防水防滑', '消毒烘干', '防直吹', '抗菌防霉', '防水', '增强免疫力', '防滑耐磨', '吸湿', '消毒杀菌', '保暖', '紧身', '杀菌消毒']"
110,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：休闲透气（功能）属于或类似于___（功能）
#答案#
打孔透气
#候选#
['舒适透气', '防胀气', '加厚保暖', '防直吹', '消毒烘干', '吸湿', '消毒杀菌', '杀菌消毒', '抗菌防霉', '透风', '防水防滑', '防水', '通风', '排湿', '防碰撞']"
111,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：保湿修护（功能）属于或类似于___（功能）
#答案#
保湿
#候选#
['补水美白', '美白补水', '护肤', '提亮肤色', '抗氧化', '防尿湿', '爽肤', '嫩肤', '焕肤', '活肤', '去角质', '柔肤', '抗过敏', '隔离遮瑕', '抗衰老']"
112,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：养生保健（功能）属于或类似于___（功能）
#答案#
健身锻炼
#候选#
['瘦身塑形', '瘦身燃脂', '营养滋补', '增强免疫力', '增强抵抗力', '缓解疲劳', '按摩手臂', '抗衰老', '补血养颜', '护肝', '补肾', '养胃', '美容护肤', '活血化瘀', '补气血']"
113,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：养颜（功能）属于或类似于___（功能）
#答案#
养颜润肤
#候选#
['恢复肌肤', '平衡肌肤', '提亮肤', '保温亮肤', '保湿修护', '补水美白', '润滋养', '滋补保健', '滋润营养', '润肤', '美白保湿', '紧致肌肤', '嫩白亮肤', '护肤', '紧致亮肤']"
114,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：包臀显瘦（功能）属于或类似于___（功能）
#答案#
包臀修身
#候选#
['收腰修身', '修身收腰', '遮胯', '修身性感', '修身高腰', '翘臀', '修身', '遮肚子', '打底显身材', '修身短袖', '修身打底', '遮肉', '加厚加绒', '收腰', '托腹']"
115,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：去湿气（功能）属于或类似于___（功能）
#答案#
去湿
#候选#
['清热', '除臭', '杀菌', '去黄气', '防潮', '去味', '祛痘', '止痒', '去脂', '刮油', '熏蒸', '去消化', '美容', '祛痰', '美白']"
116,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：去脂（功能）属于或类似于___（功能）
#答案#
瘦腿
#候选#
['瘦脸', '去瘦身', '瘦肚子', '去赘肉', '修身显瘦', '修身', '去胖', '显身材', '减小腹', '运动健身', '收腹', '排毒', '美容', '消食', '去热']"
117,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：吸黑头（功能）属于或类似于___（功能）
#答案#
祛黑头
#候选#
['嫩黑头', '祛斑', '去粉刺', '祛痘', '清洁毛孔', '祛痘印', '清洁毛', '清洁洗脸', '深层清洁毛孔', '收缩毛孔', '收毛孔', '去法令纹', '补水美白', '美白', '去痘']"
118,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：抑制食欲（功能）属于或类似于___（功能）
#答案#
瘦身
#候选#
['瘦腿', '减脂', '瘦身减肥', '瘦全身', '健身', '修身', '塑身', '修身显瘦', '瘦身燃脂', '显身材', '燃脂', '塑型', '脱脂', '塑形', '美体']"
119,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：折叠收纳（功能）属于或类似于___（功能）
#答案#
置物
#候选#
['储水', '防尘', '取暖', '隐形', '收纳鞋子', '保温', '储奶', '家用', '防风', '储存食物', '散热', '收纳垃圾', '清凉', '保暖', '晾晒']"
120,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：整理收纳（功能）属于或类似于___（功能）
#答案#
归纳收纳
#候选#
['整理空间', '置物', '储水', '可折叠', '储奶', '冷藏冷冻', '防灰尘', '收缩', '调温', '密封', '冷却', '防尘', '遮挡', '加固', '防风']"
121,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：显瘦（功能）属于或类似于___（功能）
#答案#
减瘦
#候选#
['瘦肚子', '瘦臀', '瘦胳膊', '健腹', '减龄', '健身', '瘦减龄', '减压', '瘦小腿', '收腹', '燃脂', '塑身', '降温', '收缩', '省力']"
122,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：显瘦时尚（功能）属于或类似于___（功能）
#答案#
加厚显瘦
#候选#
['加厚加绒', '加厚保暖', '修身时尚', '修身包臀', '修身帅气', '遮肚子', '修身性感', '遮肉', '修身短袖', '修身收腰', '显高气质', '减龄气质', '包臀修身', '显腿长', '遮肚']"
123,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：束腰（功能）属于或类似于___（功能）
#答案#
减龄显瘦
#候选#
['显瘦潮', '收身显瘦', '瘦全身', '显瘦休闲', '显瘦时尚', '显瘦百搭', '超显瘦', '显脸瘦', '瘦身减肥', '显瘦性感', '瘦身燃脂', '瘦大腿', '瘦手臂', '瘦脸', '显瘦包臀']"
124,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：活肤滋润（功能）属于或类似于___（功能）
#答案#
湿润
#候选#
['补水', '保湿', '防干裂', '锁水', '补水保湿美白', '眼部保湿', '保湿眼部', '滋养头发', '滋养眼', '滋养秀发', '滋养头皮', '滋养睫毛']"
125,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：活肤滋润（功能）属于或类似于___（功能）
#答案#
滋养身体
#候选#
['滋养眼', '滋养头发', '滋养头皮', '滋养秀发', '滋养睫毛', '补水保湿美白', '补水', '眼部保湿', '保湿', '保湿眼部', '防干裂', '锁水']"
126,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：消肿利尿（功能）属于或类似于___（功能）
#答案#
祛湿利尿
#候选#
['止咳止泻', '止痛化瘀', '止咳通鼻', '活血通便', '止咳消炎', '止咳止痰', '止咳消痰', '止咳化痰', '止泻止吐', '止咳平喘', '消炎止吐', '消除失眠', '平喘化痰', '平肝利胆']"
127,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：润泽（功能）属于或类似于___（功能）
#答案#
保湿水嫩
#候选#
['美白补水', '保湿护卷', '水润清透', '补水控油', '提亮肤色', '美白遮瑕', '深层补水', '水润饱满', '润肤', '眼部补水', '修复肌肤', '滋润营养', '爽肤', '防水防汗', '清凉透气']"
128,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：淡化痘（功能）属于或类似于___（功能）
#答案#
祛痘痘
#候选#
['美白脸部', '淡化脸部', '淡化皮肤', '改善斑', '淡化红脸', '淡化乳晕', '淡化斑', '缩小皮肤', '淡化刀疤', '软化脸部', '淡化黑眼', '镇静皮肤', '淡化眼', '淡化眼周', '淡化身体']"
129,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：滋润保湿（功能）属于或类似于___（功能）
#答案#
滋润眼部
#候选#
['淡化黑眼圈', '提亮肤色', '去黑眼圈', '护肌肤', '美白遮瑕', '控油补水', '美白补水', '补水美白', '隔离遮瑕', '修复肌肤', '收缩毛孔', '清洁毛孔', '去眼袋', '保湿修护', '清爽控油']"
130,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：滋润保湿（功能）属于或类似于___（功能）
#答案#
保湿镇定
#候选#
['护肌肤', '清爽控油', '控油补水', '美白补水', '补水控油', '修复肌肤', '补水美白', '提亮肤色', '美白遮瑕', '抗过敏', '补水修复', '隔离遮瑕', '防尿湿', '抗衰老', '抗氧化']"
131,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：省力防滑（功能）属于或类似于___（功能）
#答案#
防滑防锈
#候选#
['保护防磕碰', '整洁光滑', '方便清洗', '环保加厚', '方便伸缩', '可旋转收纳', '可折叠收纳', '恒温加热', '环保健康']"
132,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：省力防滑（功能）属于或类似于___（功能）
#答案#
稳固防滑
#候选#
['保护防磕碰', '整洁光滑', '方便伸缩', '环保加厚', '方便清洗', '可旋转收纳', '可折叠收纳', '恒温加热', '环保健康']"
133,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：细致（功能）属于或类似于___（功能）
#答案#
细致毛孔
#候选#
['紧身', '湿润', '消磨', '平滑', '紧束', '修饰女', '紧实', '家用', '紧促', '光亮', '朴素', '可折']"
134,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：缓解眼疲劳（功能）属于或类似于___（功能）
#答案#
舒缓眼干涩
#候选#
['缓解暗沉', '淡化黑眼圈', '缓解黑眼圈', '改善黯哑', '缓解细纹', '消除眼袋', '缓解头痛', '缓解失眠', '护理眼袋', '去黑眼圈', '助眠安神', '淡化细纹', '祛黑眼圈', '祛除眼袋', '预防黑眼圈']"
135,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：美白保湿（功能）属于或类似于___（功能）
#答案#
提亮保湿
#候选#
['美白遮瑕', '清爽控油', '控油补水', '防晒遮瑕', '补水控油', '补水淡斑', '补水喷雾', '美白淡斑', '清洁毛孔', '紧致抗皱', '补水修复', '隔离遮瑕', '抗氧化', '润肤', '隔离防晒']"
136,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：美白脸部（功能）属于或类似于___（功能）
#答案#
美白
#候选#
['手部美白', '美白手臂', '改善遮瑕', '提高遮瑕', '改善唇部', '改善睫毛', '改善眼部', '改善眼周', '提高睫毛', '修复颈部', '改善颈部', '激活眼周']"
137,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：美白脸部（功能）属于或类似于___（功能）
#答案#
提升脸部
#候选#
['提高遮瑕', '改善唇部', '改善遮瑕', '改善眼部', '提高睫毛', '改善睫毛', '改善颈部', '改善眼周', '修复颈部', '美白手臂', '手部美白', '激活眼周']"
138,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：耐磨防潮（功能）属于或类似于___（功能）
#答案#
耐磨耐损
#候选#
['细腻耐用', '结实耐脏', '结实紧致', '防滑防尘', '结实防水', '防水防脏', '防水抗油污', '方便清洗', '便于清洗']"
139,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：耐磨防潮（功能）属于或类似于___（功能）
#答案#
耐磨防水
#候选#
['防滑防尘', '耐用舒适', '细腻耐用', '结实耐脏', '方便清洗', '便于清洗', '结实紧致']"
140,"给定以下#问题#和它的#答案#，请从#候选#选项里按照#要求#选出三个负例用于构造一个有一定难度的多选题的错误选项，按照#输出格式#给出选择，然后给出理由。
#要求#
1. 负例作为错误选项虽然不适合用于补全#问题#中的#句子#，但是有不错的混淆效果，让人难以抉择
2. 三个易负例之间有一定差异，能涵盖较多领域。
#输出格式#
负例：负例1，负例2，负例3
#问题#
选择一个合适的短语填入空格处来补全以下*句子*，使其符合电子商务领域中的逻辑和知识。括号内是词语的标签。
*句子*：舒缓压（功能）属于或类似于___（功能）
#答案#
消压
#候选#
['降低压力', '缓解体', '缓解胀', '耐高压', '镇静神经', '缓解睛', '舒缓眼', '镇静催眠', '缓解肩', '缓解腿', '舒缓腿']"
