id,question,result
244,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：滤水（功能）对于___（品类）很重要
*选项*：['汤锅', '水槽', '水果篮', '菜板']",水槽
245,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：环保（功能）对于___（品类）很重要
*选项*：['儿童沙发', '毛巾架', '儿童雨伞', '玄关桌']",儿童沙发
246,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：环保（功能）对于___（品类）很重要
*选项*：['车衣', '洗衣粉', '婴儿衣服', '卫生巾']",婴儿衣服
247,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：环保（功能）对于___（品类）很重要
*选项*：['图书', '国画', '钢笔', '漫画']",漫画
248,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：环保（功能）对于___（品类）很重要
*选项*：['扫把', '破壁机', '茶叶', '洗洁精']",扫把
249,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：环保（功能）对于___（品类）很重要
*选项*：['平底鞋', '板鞋', '高跟鞋', '滑滑梯']",滑滑梯
250,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：环保（功能）对于___（品类）很重要
*选项*：['花洒', '洗衣粉', '洗衣盆', '杯垫']",花洒
251,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：益气（功能）对于___（品类）很重要
*选项*：['蜂蜜', '松子', '黑糖', '精华']",蜂蜜
252,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：省力（功能）对于___（品类）很重要
*选项*：['储物柜', '手提袋', '整理箱', '置物架']",手提袋
253,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：紧身（功能）对于___（品类）很重要
*选项*：['防晒衫', '雪地靴', '护膝', '腰包']",防晒衫
254,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：美白（功能）对于___（品类）很重要
*选项*：['沐浴球', '香水', '口红', '牙膏']",牙膏
255,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：美白保湿（功能）对于___（品类）很重要
*选项*：['草莓', '香水', '银耳', '足膜']",足膜
256,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：美背（功能）对于___（品类）很重要
*选项*：['西装', '电视', '睡袍', '保暖内衣']",西装
257,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：耐用（功能）对于___（品类）很重要
*选项*：['秤', '钥匙', '梯子', '柚木']",梯子
258,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：耐用（功能）对于___（品类）很重要
*选项*：['棋盘', '牛奶杯', '硬盘', '手账本']",手账本
259,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：耐用（功能）对于___（品类）很重要
*选项*：['烟盒', '吸顶灯', '铅笔', '饮料']",烟盒
260,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：耐磨（功能）对于___（品类）很重要
*选项*：['单车', '单跟鞋', '电瓶车', '硬盘']",单车
261,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：耐磨（功能）对于___（品类）很重要
*选项*：['水管', '头灯', '电缆', '抽绳']",电缆
262,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：耐磨（功能）对于___（品类）很重要
*选项*：['瓷砖', '桌', '茶杯', '卫浴']",瓷砖
263,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：耐脏（功能）对于___（品类）很重要
*选项*：['汽车', '首饰', 'T恤', '水']",T恤
264,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：耐脏（功能）对于___（品类）很重要
*选项*：['绿植', '食品', '电脑椅', '书本']",书本
265,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：耐高温（功能）对于___（品类）很重要
*选项*：['酸奶', '保鲜袋', '壶', '早餐杯']",早餐杯
266,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：舒爽（功能）对于___（品类）很重要
*选项*：['风扇', '按摩器', '电热水器', '冰箱']",风扇
267,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：蓬松（功能）对于___（品类）很重要
*选项*：['呢大衣', '毛衣裙', '半身长裙', '大摆裙']",大摆裙
268,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：补水（功能）对于___（品类）很重要
*选项*：['喷雾瓶', '香水', '沐浴露', '矿泉水']",沐浴露
269,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：调光（功能）对于___（品类）很重要
*选项*：['音箱', '橱柜', '钓鱼灯', '香薰机']",钓鱼灯
270,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：调温（功能）对于___（品类）很重要
*选项*：['充电宝', '眼罩', '羽绒服', '咖啡']",眼罩
271,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：车用（功能）对于___（品类）很重要
*选项*：['马桶', '储物箱', '笔记本', '果冻']",储物箱
272,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：轻便（功能）对于___（品类）很重要
*选项*：['帆布', '瓢鞋', '浴巾', '喷雾']",瓢鞋
273,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：轻便（功能）对于___（品类）很重要
*选项*：['登山鞋', '功夫茶具', '智能手机', '单反相机']",登山鞋
274,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：过滤（功能）对于___（品类）很重要
*选项*：['网兜', '耳塞', '蜂窝', '马桶']",网兜
275,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：运动（功能）对于___（品类）很重要
*选项*：['保护垫', '跳舞毯', '坐垫', '拉丁舞鞋']",跳舞毯
276,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：运动（功能）对于___（品类）很重要
*选项*：['披风', '口罩', '洗脸巾', '救生衣']",口罩
277,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：运动健身（功能）对于___（品类）很重要
*选项*：['饮料', '泳镜', '男士休闲裤', '护膝']",男士休闲裤
278,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：透气（功能）对于___（品类）很重要
*选项*：['洗漱用品', '车内饰品', '三分裤', '被子']",三分裤
279,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：透气（功能）对于___（品类）很重要
*选项*：['吊椅', '支架', '书架', '茶几']",吊椅
280,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：透气（功能）对于___（品类）很重要
*选项*：['充气垫', '床凉席', '单人床', '床罩']",床罩
281,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：透气（功能）对于___（品类）很重要
*选项*：['洗面奶', '充气垫', '防晒衣', '钓鱼伞']",防晒衣
282,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：透气休闲（功能）对于___（品类）很重要
*选项*：['帆船', '阔腿裤', '锅', '松糕']",阔腿裤
283,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：透气舒适（功能）对于___（品类）很重要
*选项*：['电脑', '摩托车', '眼镜', '休闲椅']",休闲椅
284,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：速干（功能）对于___（品类）很重要
*选项*：['泳镜', '儿童泳衣', '洗发水', '晒衣架']",儿童泳衣
285,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：遮光（功能）对于___（品类）很重要
*选项*：['显示器', '窗户', '眼镜', '汽车']",窗户
286,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：遮肉（功能）对于___（品类）很重要
*选项*：['细腰带', '游泳圈', '蝴蝶结', '一步裙']",一步裙
287,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：避震（功能）对于___（品类）很重要
*选项*：['靠背', '鞋', '坐垫', '软垫']",鞋
288,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防抖（功能）对于___（品类）很重要
*选项*：['汽车', '运动内衣', '照片', '录像机']",录像机
289,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防护（功能）对于___（品类）很重要
*选项*：['充气泵', '按摩油', '滤芯', '玻璃奶瓶']",充气泵
290,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防护（功能）对于___（品类）很重要
*选项*：['马桶', '凉鞋', '窗帘', '镜框']",窗帘
291,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防晒（功能）对于___（品类）很重要
*选项*：['棉花糖', '女装针织衫', '帆布', '高跟鞋']",女装针织衫
292,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防晒（功能）对于___（品类）很重要
*选项*：['母女装', '包臀裙', '小西装', '浴巾']",母女装
293,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防水（功能）对于___（品类）很重要
*选项*：['香料', '墨水', '调料', '眉粉']",眉粉
294,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防水（功能）对于___（品类）很重要
*选项*：['网面鞋', '水桶', '公路自行车', '男士背包']",男士背包
295,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防水耐磨（功能）对于___（品类）很重要
*选项*：['鞋带', '皮衣', '书', '硬壳']",皮衣
296,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防汗（功能）对于___（品类）很重要
*选项*：['头灯', '充电宝', '抽绳', '散粉']",散粉
297,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防油（功能）对于___（品类）很重要
*选项*：['布艺沙发', '洗碗机', '水池', '吸油纸']",吸油纸
298,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防紫外线（功能）对于___（品类）很重要
*选项*：['红酒', '灯', '手机', '镜框']",灯
299,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防紫外线（功能）对于___（品类）很重要
*选项*：['超轻遮阳伞', 'BB霜', '自行车', '镜框']",超轻遮阳伞
300,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防锈（功能）对于___（品类）很重要
*选项*：['伞', '发夹', '锁', '鞋']",发夹
301,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防霉（功能）对于___（品类）很重要
*选项*：['门', '墙体', '蔬菜', '纸巾盒']",墙体
302,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防霉（功能）对于___（品类）很重要
*选项*：['垫子', '纸巾盒', '电脑', '食品']",垫子
303,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防霉（功能）对于___（品类）很重要
*选项*：['门', '食品', '电脑', '灯罩']",灯罩
304,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：防风（功能）对于___（品类）很重要
*选项*：['泳衣', '高跟鞋', '迷彩裤', '衣袜架']",迷彩裤
305,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：除异味（功能）对于___（品类）很重要
*选项*：['海绵擦', '柔顺剂', '轿车', '鞋柜']",海绵擦
306,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：除甲醛（功能）对于___（品类）很重要
*选项*：['遮光窗帘', '汽车坐垫', '办公桌', '车载香水']",车载香水
307,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：除甲醛（功能）对于___（品类）很重要
*选项*：['香水', '球', '过滤网', '遮光窗帘']",过滤网
308,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：隔热（功能）对于___（品类）很重要
*选项*：['外壳', '腰包', '奶瓶', '热水袋']",奶瓶
309,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：隔热（功能）对于___（品类）很重要
*选项*：['烟嘴', '开关', '蒸笼', '咖啡']",烟嘴
310,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：隔热（功能）对于___（品类）很重要
*选项*：['被套', '皮套', '洗衣机', '砧板']",皮套
311,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：露锁骨（功能）对于___（品类）很重要
*选项*：['打底衫', '腰带', '宽松衬衫', '休闲裤']",打底衫
312,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：修身时尚（功能）需要___（款式）
*选项*：['露背', '镂空', '露肩', '薄款']",薄款
313,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：显瘦（功能）需要___（款式）
*选项*：['荷叶袖', '开襟', '西装领', '大裙摆']",大裙摆
314,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：清凉（功能）需要___（款式）
*选项*：['长袖', '薄款', '花式', '厚底']",薄款
315,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：蓝牙（功能）需要___（款式）
*选项*：['高速', '重低音', '双耳', '无线']",无线
316,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：遮肚（功能）需要___（款式）
*选项*：['长袖', '直筒', '半袖', '圆领']",直筒
317,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：丧胆（动作）属于或类似于___（动作）
*选项*：['令人心悸', '忌惮', '咋舌', '噤若寒蝉']",令人心悸
318,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：例外（动作）属于或类似于___（动作）
*选项*：['特种', '异乎寻常', '新鲜', '非常']",异乎寻常
319,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：俭朴（动作）属于或类似于___（动作）
*选项*：['刻苦', '省时', '箪食瓢饮', '缩衣节食']",缩衣节食
320,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：印证（动作）属于或类似于___（动作）
*选项*：['证实', '作证', '检查', '求证']",证实
321,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：嚷嚷（动作）属于或类似于___（动作）
*选项*：['汹汹', '蜂拥而上', '沸反盈天', '喧嚣']",喧嚣
322,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：大出血（动作）属于或类似于___（动作）
*选项*：['流鼻血', '大小便', '大扫除', '出血']",出血
323,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：奇异（动作）属于或类似于___（动作）
*选项*：['独特', '非常规', '特种', '超常规']",独特
324,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：怀想（动作）属于或类似于___（动作）
*选项*：['感怀', '叨念', '纪念', '思念']",思念
325,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：打扫（动作）属于或类似于___（动作）
*选项*：['布置', '刷墙', '洗扫', '刷锅']",洗扫
326,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：抗衡（动作）属于或类似于___（动作）
*选项*：['平产', '打平', '铢两悉称', '媲美']",媲美
327,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：搓澡（动作）属于或类似于___（动作）
*选项*：['洗衣', '洗车', '擦鞋', '搓洗']",搓洗
328,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：整治（动作）属于或类似于___（动作）
*选项*：['修补', '折腾', '投诉', '自办']",修补
329,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：炖鸡汤（动作）属于或类似于___（动作）
*选项*：['炖牛肉', '做菜', '煮粥', '煎鸡蛋']",做菜
330,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：煮菜粥（动作）属于或类似于___（动作）
*选项*：['煮粥', '种菜菜', '炖肉汤', '煮拉面']",煮粥
331,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：玩火（动作）属于或类似于___（动作）
*选项*：['烧钱', '沉迷', '违纪', '打滚']",违纪
332,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：相见（动作）属于或类似于___（动作）
*选项*：['往生', '共舞', '撞见', '闻见']",撞见
333,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：瞥见（动作）属于或类似于___（动作）
*选项*：['引见', '相视', '瞅见', '听见']",瞅见
334,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：练字（动作）属于或类似于___（动作）
*选项*：['催稿', '削笔', '研墨', '临摹']",临摹
335,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：续费（动作）属于或类似于___（动作）
*选项*：['托管', '捐助', '结算', '交费']",交费
336,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：置业（动作）属于或类似于___（动作）
*选项*：['创业', '择业', '置办', '毕业']",置办
337,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：试镜（动作）属于或类似于___（动作）
*选项*：['试水', '试探', '试衣', '试驾']",试探
338,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：谈笑（动作）属于或类似于___（动作）
*选项*：['谈判', '取笑', '谈价', '谈心']",取笑
339,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：送命（动作）属于或类似于___（动作）
*选项*：['买马', '打钱', '卖命', '送钱']",卖命
340,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：选料（动作）属于或类似于___（动作）
*选项*：['拣选', '选种', '选曲', '选编']",拣选
341,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：造事（动作）属于或类似于___（动作）
*选项*：['报复', '滋事', '贪污', '挑事']",滋事
342,"选择*选项*中相对来说最合适的一个填入空格处来补全以下*句子*，使其符合电子商务和生活消费领域中的逻辑和知识，输出选择的*选项*即可。括号内是词语的标签。
*句子*：鬼祟（动作）属于或类似于___（动作）
*选项*：['体己', '暗地里', '骨子里', '不动声色']",暗地里
